answer_number,question_title,author_name,answer_url,created_time,introduction,regional,comment,comment_number
54,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Howard-Robinson-20,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#843657744September 19, 2019 at 10:46:21 PM","Author1973–present   ;Certified by the ABPS in Plastic Surgery Residency, University of Illinois at Chicago College of Medicine   ;Lives in Miami   ;1.2M content views17.6K this month   ;Joined April 2017",America," It is understandable tat group practices exist for coverage purposes, as physicians can answer to each other as goals are the same.",354
54,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Howard-Robinson-20,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#843657744September 19, 2019 at 10:46:21 PM","Author1973–present   ;Certified by the ABPS in Plastic Surgery Residency, University of Illinois at Chicago College of Medicine   ;Lives in Miami   ;1.2M content views17.6K this month   ;Joined April 2017",America, Corporate practices have different goals that may conflict.,355
55,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Sickeconomics-com,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#843689945September 19, 2019 at 11:21:07 PM",Biotech Stocks Analyst/Commentator   ;Lives in South Florida   ;14.7K content views167 this month   ;Joined September 2019,America,"I can speak to this because I have been calling on medical practices for 15 years, and I have seen the slow elimination of the independent provider.",356
55,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Sickeconomics-com,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#843689945September 19, 2019 at 11:21:07 PM",Biotech Stocks Analyst/Commentator   ;Lives in South Florida   ;14.7K content views167 this month   ;Joined September 2019,America," The answer to the question really revolves around the word, “expectations.” The two happiest groups of docs are the older docs, who were already well est…",357
55,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Sickeconomics-com,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#843689945September 19, 2019 at 11:21:07 PM",Biotech Stocks Analyst/Commentator   ;Lives in South Florida   ;14.7K content views167 this month   ;Joined September 2019,America,(,358
55,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Sickeconomics-com,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#843689945September 19, 2019 at 11:21:07 PM",Biotech Stocks Analyst/Commentator   ;Lives in South Florida   ;14.7K content views167 this month   ;Joined September 2019,America,more),359
56,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mary-Fallon-23,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#1004406477February 29, 2020 at 7:40:38 AM","Former RN Neurosurgical at Cleveland Clinic   ;in Business (college major), Baldwin Wallace University   ;Lived in Cleveland, Ohio   ;180.7K content views6.6K this month   ;Active in 1 Space   ;Joined May 2017",America,More patients and less time per patient.,360
56,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mary-Fallon-23,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#1004406477February 29, 2020 at 7:40:38 AM","Former RN Neurosurgical at Cleveland Clinic   ;in Business (college major), Baldwin Wallace University   ;Lived in Cleveland, Ohio   ;180.7K content views6.6K this month   ;Active in 1 Space   ;Joined May 2017",America, Less patient instruction.,361
56,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mary-Fallon-23,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#1004406477February 29, 2020 at 7:40:38 AM","Former RN Neurosurgical at Cleveland Clinic   ;in Business (college major), Baldwin Wallace University   ;Lived in Cleveland, Ohio   ;180.7K content views6.6K this month   ;Active in 1 Space   ;Joined May 2017",America," Eventually, patients will be punished for non compliance with meds, diabetic sugar testing or poor diet with increased premiums to reflect poor health choices.",362
57,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mark-Johnson-2431,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#883436346October 26, 2019 at 1:59:21 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.6K this month   ;Active in 3 Spaces   ;Joined September 2017",America,One way that increasing corporatization of American Medicine is the word I heard many times by these” these”MBA Suit “people taking over my life.,363
57,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mark-Johnson-2431,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#883436346October 26, 2019 at 1:59:21 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.6K this month   ;Active in 3 Spaces   ;Joined September 2017",America, I was a Primary Care Internal Medicine doctor for 31 years and 23 years at Kaiser Permanente.,364
57,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mark-Johnson-2431,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#883436346October 26, 2019 at 1:59:21 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.6K this month   ;Active in 3 Spaces   ;Joined September 2017",America, a large HMO.,365
57,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mark-Johnson-2431,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#883436346October 26, 2019 at 1:59:21 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.6K this month   ;Active in 3 Spaces   ;Joined September 2017",America," I thought being a Kaiser an HMO Doc would protect me from some of the endless insurance company BS, but over the years there was more and more regulations and duties transferred to the Primary Care Provider.",366
57,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mark-Johnson-2431,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#883436346October 26, 2019 at 1:59:21 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.6K this month   ;Active in 3 Spaces   ;Joined September 2017",America,¶,367
57,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mark-Johnson-2431,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#883436346October 26, 2019 at 1:59:21 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.6K this month   ;Active in 3 Spaces   ;Joined September 2017",America,,368
57,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mark-Johnson-2431,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#883436346October 26, 2019 at 1:59:21 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.6K this month   ;Active in 3 Spaces   ;Joined September 2017",America,Provider.,369
57,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mark-Johnson-2431,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#883436346October 26, 2019 at 1:59:21 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.6K this month   ;Active in 3 Spaces   ;Joined September 2017",America, These days no doctor is free from this.,370
57,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mark-Johnson-2431,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#883436346October 26, 2019 at 1:59:21 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.6K this month   ;Active in 3 Spaces   ;Joined September 2017",America, This is not just an HMO issue.,371
57,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mark-Johnson-2431,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#883436346October 26, 2019 at 1:59:21 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.6K this month   ;Active in 3 Spaces   ;Joined September 2017",America,¶,372
57,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mark-Johnson-2431,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#883436346October 26, 2019 at 1:59:21 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.6K this month   ;Active in 3 Spaces   ;Joined September 2017",America,,373
57,In what ways is the increasing corporatization of American medicine being a big part of the physician burnout crisis?,Mark-Johnson-2431,https://www.quora.com/In-what-ways-is-the-increasing-corporatization-of-American-medicine-being-a-big-part-of-the-physician-burnout-crisis,"#883436346October 26, 2019 at 1:59:21 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.6K this month   ;Active in 3 Spaces   ;Joined September 2017",America,The word they used was….,374
